Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1983,,,CD,Value,1983,17.2,,1983,,£17.2M,£3.8B,,£3786.4B,17.2,1983
1984,,,CD,Value,1984,103.3,,1984,,£103.3M,£4.3B,,£4334.7B,103.3,1984
1985,,,CD,Value,1985,389.5,,1985,,£389.5M,£4.4B,,£4362.5B,389.5,1985
1986,,,CD,Value,1986,930.1,,1986,,£930.1M,£4.6B,,£4640.7B,930.1,1986
1987,,,CD,Value,1987,1593.6,,1987,£1.6B,,£5.6B,,£5564.0B,1593.6,1987
1988,,,CD,Value,1988,2089.9,,1988,£2.1B,,£6.3B,,£6254.7B,2089.9,1988
1989,,,CD,Value,1989,2587.7,,1989,£2.6B,,£6.6B,,£6580.2B,2587.7,1989
1990,,,CD,Value,1990,3451.6,,1990,£3.5B,,£7.5B,,£7541.1B,3451.6,1990
1991,,,CD,Value,1991,4337.7,,1991,£4.3B,,£7.8B,,£7834.2B,4337.7,1991
1992,,,CD,Value,1992,5326.5,,1992,£5.3B,,£9.0B,,£9024.0B,5326.5,1992
1993,,,CD,Value,1993,6511.4,,1993,£6.5B,,£10.0B,,£10046.6B,6511.4,1993
1994,,,CD,Value,1994,8464.5,,1994,£8.5B,,£12.1B,,£12068.0B,8464.5,1994
1995,,,CD,Value,1995,9377.4,,1995,£9.4B,,£12.3B,,£12320.3B,9377.4,1995
1996,,,CD,Value,1996,9934.7,,1996,£9.9B,,£12.5B,,£12533.8B,9934.7,1996
1997,,,CD,Value,1997,9915.1,,1997,£9.9B,,£12.2B,,£12236.8B,9915.1,1997
1998,,,CD,Value,1998,11416,,1998,£11.4B,,£13.7B,,£13711.2B,11416,1998
1999,,,CD,Value,1999,12816.3,,1999,£12.8B,,£14.6B,,£14584.7B,12816.3,1999
2000,,,CD,Value,2000,13214.5,,2000,£13.2B,,£14.3B,,£14323.7B,13214.5,2000
2001,,,CD,Value,2001,12909.4,,2001,£12.9B,,£13.7B,,£13746.2B,12909.4,2001
2002,,,CD,Value,2002,12044.1,,2002,£12.0B,,£12.6B,,£12615.8B,12044.1,2002
2003,,,CD,Value,2003,11232.9,,2003,£11.2B,,£11.9B,,£11854.4B,11232.9,2003
2004,,,CD,Value,2004,11446.5,,2004,£11.4B,,£12.3B,,£12345.1B,11446.5,2004
2005,,,CD,Value,2005,10520.2,,2005,£10.5B,,£12.3B,,£12289.9B,10520.2,2005
2006,,,CD,Value,2006,9372.6,,2006,£9.4B,,£11.8B,,£11759.5B,9372.6,2006
2007,,,CD,Value,2007,7452.3,,2007,£7.5B,,£10.7B,,£10650.9B,7452.3,2007
2008,,,CD,Value,2008,5471.3,,2008,£5.5B,,£8.8B,,£8776.8B,5471.3,2008
2009,,,CD,Value,2009,4318.8,,2009,£4.3B,,£7.8B,,£7831.0B,4318.8,2009
2010,,,CD,Value,2010,3389.4,,2010,£3.4B,,£7.0B,,£7013.8B,3389.4,2010
2011,,,CD,Value,2011,3100.7,,2011,£3.1B,,£7.1B,,£7135.6B,3100.7,2011
2012,,,CD,Value,2012,10247469.46.00,,2012,£2.5B,,£7.0B,,£7015.7B,10247469.46.00,2012
2013,,,CD,Value,2013,15297442.47.00,,2013,£2.1B,,£7.0B,,£7035.1B,15297442.47.00,2013
2014,,,CD,Value,2014,4157172.35.00,,2014,£1.8B,,£6.7B,,£6694.7B,4157172.35.00,2014
2015,,,CD,Value,2015,16554669.29.00,,2015,£1.4B,,£6.7B,,£6710.8B,16554669.29.00,2015
2016,,,CD,Value,2016,12745307.18.00,,2016,£1.1B,,£7.5B,,£7491.7B,12745307.18.00,2016
2017,,,CD,Value,2017,15268567.45.00,,2017,£1.0B,,£8.5B,,£8503.2B,15268567.45.00,2017
2018,,,CD,Value,2018,13560338.38.00,,2018,,£695.8M,£9.7B,,£9738.2B,13560338.38.00,2018
2019,,,CD,Value,2019,11523592.34.00,,2019,,£630.7M,£11.1B,,£11130.4B,11523592.34.00,2019
2020,,,CD,Value,2020,5676033.19.00,,2020,,£483.3M,£12.2B,,£12153.4B,5676033.19.00,2020
1988,,,CD Single,Value,1988,9.8,,1988,,£9.8M,£6.3B,,£6254.7B,9.8,1988
1990,,,CD Single,Value,1990,6,,1990,,£6.0M,£7.5B,,£7541.1B,6,1990
1991,,,CD Single,Value,1991,35.1,,1991,,£35.1M,£7.8B,,£7834.2B,35.1,1991
1992,,,CD Single,Value,1992,45.1,,1992,,£45.1M,£9.0B,,£9024.0B,45.1,1992
1993,,,CD Single,Value,1993,45.8,,1993,,£45.8M,£10.0B,,£10046.6B,45.8,1993
1994,,,CD Single,Value,1994,56.1,,1994,,£56.1M,£12.1B,,£12068.0B,56.1,1994
1995,,,CD Single,Value,1995,110.9,,1995,,£110.9M,£12.3B,,£12320.3B,110.9,1995
1996,,,CD Single,Value,1996,184.1,,1996,,£184.1M,£12.5B,,£12533.8B,184.1,1996
1997,,,CD Single,Value,1997,272.7,,1997,,£272.7M,£12.2B,,£12236.8B,272.7,1997
1998,,,CD Single,Value,1998,213.2,,1998,,£213.2M,£13.7B,,£13711.2B,213.2,1998
1999,,,CD Single,Value,1999,222.4,,1999,,£222.4M,£14.6B,,£14584.7B,222.4,1999
2000,,,CD Single,Value,2000,142.7,,2000,,£142.7M,£14.3B,,£14323.7B,142.7,2000
2001,,,CD Single,Value,2001,79.4,,2001,,£79.4M,£13.7B,,£13746.2B,79.4,2001
2002,,,CD Single,Value,2002,19.6,,2002,,£19.6M,£12.6B,,£12615.8B,19.6,2002
2003,,,CD Single,Value,2003,36,,2003,,£36.0M,£11.9B,,£11854.4B,36,2003
2004,,,CD Single,Value,2004,15,,2004,,£15.0M,£12.3B,,£12345.1B,15,2004
2005,,,CD Single,Value,2005,10.9,,2005,,£10.9M,£12.3B,,£12289.9B,10.9,2005
2006,,,CD Single,Value,2006,7.7,,2006,,£7.7M,£11.8B,,£11759.5B,7.7,2006
2007,,,CD Single,Value,2007,12.2,,2007,,£12.2M,£10.7B,,£10650.9B,12.2,2007
2008,,,CD Single,Value,2008,3.5,,2008,,£3.5M,£8.8B,,£8776.8B,3.5,2008
2009,,,CD Single,Value,2009,3.1,,2009,,£3.1M,£7.8B,,£7831.0B,3.1,2009
2010,,,CD Single,Value,2010,2.9,,2010,,£2.9M,£7.0B,,£7013.8B,2.9,2010
2011,,,CD Single,Value,2011,3.5,,2011,,£3.5M,£7.1B,,£7135.6B,3.5,2011
2012,,,CD Single,Value,2012,3751552.05.00,,2012,,£3.2M,£7.0B,,£7015.7B,3751552.05.00,2012
2013,,,CD Single,Value,2013,7428955.46.00,,2013,,£2.4M,£7.0B,,£7035.1B,7428955.46.00,2013
2014,,,CD Single,Value,2014,10266928.47.00,,2014,,£3.6M,£6.7B,,£6694.7B,10266928.47.00,2014
2015,,,CD Single,Value,2015,3282444.30.00,,2015,,£1.2M,£6.7B,,£6710.8B,3282444.30.00,2015
2016,,,CD Single,Value,2016,4386651.22.00,,2016,,£0.3M,£7.5B,,£7491.7B,4386651.22.00,2016
2017,,,CD Single,Value,2017,3038986.53.00,,2017,,£0.2M,£8.5B,,£8503.2B,3038986.53.00,2017
2018,,,CD Single,Value,2018,263402.27.00,,2018,,£0.0,£9.7B,,£9738.2B,263402.27.00,2018
2019,,,CD Single,Value,2019,1042644.27.00,,2019,,£0.1M,£11.1B,,£11130.4B,1042644.27.00,2019
2020,,,CD Single,Value,2020,6172566.27.00,,2020,,£0.4M,£12.2B,,£12153.4B,6172566.27.00,2020
1973,,,Cassette,Value,1973,76,,1973,,£76.0M,£2.0B,,£2016.6B,76,1973
1974,,,Cassette,Value,1974,87.2,,1974,,£87.2M,£2.2B,,£2199.7B,87.2,1974
1975,,,Cassette,Value,1975,98.8,,1975,,£98.8M,£2.4B,,£2388.5B,98.8,1975
1976,,,Cassette,Value,1976,145.7,,1976,,£145.7M,£2.7B,,£2737.1B,145.7,1976
1977,,,Cassette,Value,1977,249.6,,1977,,£249.6M,£3.5B,,£3500.8B,249.6,1977
1978,,,Cassette,Value,1978,449.8,,1978,,£449.8M,£4.1B,,£4131.4B,449.8,1978
1979,,,Cassette,Value,1979,580.6,,1979,,£580.6M,£3.7B,,£3675.5B,580.6,1979
1980,,,Cassette,Value,1980,705,,1980,,£705.0M,£3.7B,,£3682.0B,705,1980
1981,,,Cassette,Value,1981,1062.8,,1981,£1.1B,,£4.0B,,£3973.9B,1062.8,1981
1982,,,Cassette,Value,1982,1384.5,,1982,£1.4B,,£3.6B,,£3628.6B,1384.5,1982
1983,,,Cassette,Value,1983,1810.9,,1983,£1.8B,,£3.8B,,£3786.4B,1810.9,1983
1984,,,Cassette,Value,1984,2383.9,,1984,£2.4B,,£4.3B,,£4334.7B,2383.9,1984
1985,,,Cassette,Value,1985,2411.5,,1985,£2.4B,,£4.4B,,£4362.5B,2411.5,1985
1986,,,Cassette,Value,1986,2499.5,,1986,£2.5B,,£4.6B,,£4640.7B,2499.5,1986
1987,,,Cassette,Value,1987,2959.7,,1987,£3.0B,,£5.6B,,£5564.0B,2959.7,1987
1988,,,Cassette,Value,1988,3385.1,,1988,£3.4B,,£6.3B,,£6254.7B,3385.1,1988
1989,,,Cassette,Value,1989,3345.8,,1989,£3.3B,,£6.6B,,£6580.2B,3345.8,1989
1990,,,Cassette,Value,1990,3472.4,,1990,£3.5B,,£7.5B,,£7541.1B,3472.4,1990
1991,,,Cassette,Value,1991,3019.6,,1991,£3.0B,,£7.8B,,£7834.2B,3019.6,1991
1992,,,Cassette,Value,1992,3116.3,,1992,£3.1B,,£9.0B,,£9024.0B,3116.3,1992
1993,,,Cassette,Value,1993,2915.8,,1993,£2.9B,,£10.0B,,£10046.6B,2915.8,1993
1994,,,Cassette,Value,1994,2976.4,,1994,£3.0B,,£12.1B,,£12068.0B,2976.4,1994
1995,,,Cassette,Value,1995,2303.6,,1995,£2.3B,,£12.3B,,£12320.3B,2303.6,1995
1996,,,Cassette,Value,1996,1905.3,,1996,£1.9B,,£12.5B,,£12533.8B,1905.3,1996
1997,,,Cassette,Value,1997,1522.7,,1997,£1.5B,,£12.2B,,£12236.8B,1522.7,1997
1998,,,Cassette,Value,1998,1419.9,,1998,£1.4B,,£13.7B,,£13711.2B,1419.9,1998
1999,,,Cassette,Value,1999,1061.6,,1999,£1.1B,,£14.6B,,£14584.7B,1061.6,1999
2000,,,Cassette,Value,2000,626,,2000,,£626.0M,£14.3B,,£14323.7B,626,2000
2001,,,Cassette,Value,2001,363.4,,2001,,£363.4M,£13.7B,,£13746.2B,363.4,2001
2002,,,Cassette,Value,2002,209.8,,2002,,£209.8M,£12.6B,,£12615.8B,209.8,2002
2003,,,Cassette,Value,2003,108.1,,2003,,£108.1M,£11.9B,,£11854.4B,108.1,2003
2004,,,Cassette,Value,2004,23.7,,2004,,£23.7M,£12.3B,,£12345.1B,23.7,2004
2005,,,Cassette,Value,2005,13.1,,2005,,£13.1M,£12.3B,,£12289.9B,13.1,2005
2006,,,Cassette,Value,2006,3.7,,2006,,£3.7M,£11.8B,,£11759.5B,3.7,2006
2007,,,Cassette,Value,2007,3,,2007,,£3.0M,£10.7B,,£10650.9B,3,2007
2008,,,Cassette,Value,2008,0.9,,2008,,£0.9M,£8.8B,,£8776.8B,0.9,2008
2009,,,Cassette,Value,2009,0,,2009,,£0.0,£7.8B,,£7831.0B,0,2009
1987,,,Cassette Single,Value,1987,14.3,,1987,,£14.3M,£5.6B,,£5564.0B,14.3,1987
1988,,,Cassette Single,Value,1988,57.3,,1988,,£57.3M,£6.3B,,£6254.7B,57.3,1988
1989,,,Cassette Single,Value,1989,194.6,,1989,,£194.6M,£6.6B,,£6580.2B,194.6,1989
1990,,,Cassette Single,Value,1990,257.9,,1990,,£257.9M,£7.5B,,£7541.1B,257.9,1990
1991,,,Cassette Single,Value,1991,230.4,,1991,,£230.4M,£7.8B,,£7834.2B,230.4,1991
1992,,,Cassette Single,Value,1992,298.8,,1992,,£298.8M,£9.0B,,£9024.0B,298.8,1992
1993,,,Cassette Single,Value,1993,298.5,,1993,,£298.5M,£10.0B,,£10046.6B,298.5,1993
1994,,,Cassette Single,Value,1994,274.9,,1994,,£274.9M,£12.1B,,£12068.0B,274.9,1994
1995,,,Cassette Single,Value,1995,236.3,,1995,,£236.3M,£12.3B,,£12320.3B,236.3,1995
1996,,,Cassette Single,Value,1996,189.3,,1996,,£189.3M,£12.5B,,£12533.8B,189.3,1996
1997,,,Cassette Single,Value,1997,133.5,,1997,,£133.5M,£12.2B,,£12236.8B,133.5,1997
1998,,,Cassette Single,Value,1998,94.4,,1998,,£94.4M,£13.7B,,£13711.2B,94.4,1998
1999,,,Cassette Single,Value,1999,48,,1999,,£48.0M,£14.6B,,£14584.7B,48,1999
2000,,,Cassette Single,Value,2000,4.6,,2000,,£4.6M,£14.3B,,£14323.7B,4.6,2000
1973,,,8 - Track,Value,1973,489,,1973,,£489.0M,£2.0B,,£2016.6B,489,1973
1974,,,8 - Track,Value,1974,549.2,,1974,,£549.2M,£2.2B,,£2199.7B,549.2,1974
1975,,,8 - Track,Value,1975,583,,1975,,£583.0M,£2.4B,,£2388.5B,583,1975
1976,,,8 - Track,Value,1976,678.2,,1976,,£678.2M,£2.7B,,£2737.1B,678.2,1976
1977,,,8 - Track,Value,1977,811,,1977,,£811.0M,£3.5B,,£3500.8B,811,1977
1978,,,8 - Track,Value,1978,948,,1978,,£948.0M,£4.1B,,£4131.4B,948,1978
1979,,,8 - Track,Value,1979,684.3,,1979,,£684.3M,£3.7B,,£3675.5B,684.3,1979
1980,,,8 - Track,Value,1980,527,,1980,,£527.0M,£3.7B,,£3682.0B,527,1980
1981,,,8 - Track,Value,1981,313,,1981,,£313.0M,£4.0B,,£3973.9B,313,1981
1982,,,8 - Track,Value,1982,36,,1982,,£36.0M,£3.6B,,£3628.6B,36,1982
2001,,,DVD Audio,Value,2001,6,,2001,,£6.0M,£13.7B,,£13746.2B,6,2001
2002,,,DVD Audio,Value,2002,8.5,,2002,,£8.5M,£12.6B,,£12615.8B,8.5,2002
2003,,,DVD Audio,Value,2003,8,,2003,,£8.0M,£11.9B,,£11854.4B,8,2003
2004,,,DVD Audio,Value,2004,6.5,,2004,,£6.5M,£12.3B,,£12345.1B,6.5,2004
2005,,,DVD Audio,Value,2005,11.2,,2005,,£11.2M,£12.3B,,£12289.9B,11.2,2005
2006,,,DVD Audio,Value,2006,2.4,,2006,,£2.4M,£11.8B,,£11759.5B,2.4,2006
2007,,,DVD Audio,Value,2007,2.8,,2007,,£2.8M,£10.7B,,£10650.9B,2.8,2007
2008,,,DVD Audio,Value,2008,1.2,,2008,,£1.2M,£8.8B,,£8776.8B,1.2,2008
2009,,,DVD Audio,Value,2009,1.6,,2009,,£1.6M,£7.8B,,£7831.0B,1.6,2009
2010,,,DVD Audio,Value,2010,0.9,,2010,,£0.9M,£7.0B,,£7013.8B,0.9,2010
2011,,,DVD Audio,Value,2011,0.3,,2011,,£0.3M,£7.1B,,£7135.6B,0.3,2011
2012,,,DVD Audio,Value,2012,3051783.12.00,,2012,,£0.2M,£7.0B,,£7015.7B,3051783.12.00,2012
2014,,,DVD Audio,Value,2014,2324351.04.00,,2014,,£2.1M,£6.7B,,£6694.7B,2324351.04.00,2014
2015,,,DVD Audio,Value,2015,6937216.13.00,,2015,,£5.4M,£6.7B,,£6710.8B,6937216.13.00,2015
2016,,,DVD Audio,Value,2016,13925599.50.00,,2016,,£2.8M,£7.5B,,£7491.7B,13925599.50.00,2016
2017,,,DVD Audio,Value,2017,514718.26.00,,2017,,£0.3M,£8.5B,,£8503.2B,514718.26.00,2017
2018,,,DVD Audio,Value,2018,548111.46.00,,2018,,£0.3M,£9.7B,,£9738.2B,548111.46.00,2018
2019,,,DVD Audio,Value,2019,4661330.13.00,,2019,,£1.3M,£11.1B,,£11130.4B,4661330.13.00,2019
2020,,,DVD Audio,Value,2020,14062420.54.00,,2020,,£1.8M,£12.2B,,£12153.4B,14062420.54.00,2020
2004,,,Download Album,Value,2004,45.5,,2004,,£45.5M,£12.3B,,£12345.1B,45.5,2004
2005,,,Download Album,Value,2005,135.7,,2005,,£135.7M,£12.3B,,£12289.9B,135.7,2005
2006,,,Download Album,Value,2006,275.9,,2006,,£275.9M,£11.8B,,£11759.5B,275.9,2006
2007,,,Download Album,Value,2007,497.4,,2007,,£497.4M,£10.7B,,£10650.9B,497.4,2007
2008,,,Download Album,Value,2008,635.3,,2008,,£635.3M,£8.8B,,£8776.8B,635.3,2008
2009,,,Download Album,Value,2009,744.3,,2009,,£744.3M,£7.8B,,£7831.0B,744.3,2009
2010,,,Download Album,Value,2010,872.4,,2010,,£872.4M,£7.0B,,£7013.8B,872.4,2010
2011,,,Download Album,Value,2011,1070.8,,2011,£1.1B,,£7.1B,,£7135.6B,1070.8,2011
2012,,,Download Album,Value,2012,13705246.17.00,,2012,£1.2B,,£7.0B,,£7015.7B,13705246.17.00,2012
2013,,,Download Album,Value,2013,2329825.37.00,,2013,£1.2B,,£7.0B,,£7035.1B,2329825.37.00,2013
2014,,,Download Album,Value,2014,15001264.08.00,,2014,£1.1B,,£6.7B,,£6694.7B,15001264.08.00,2014
2015,,,Download Album,Value,2015,7227841.44.00,,2015,£1.1B,,£6.7B,,£6710.8B,7227841.44.00,2015
2016,,,Download Album,Value,2016,9905340.30.00,,2016,,£868.6M,£7.5B,,£7491.7B,9905340.30.00,2016
2017,,,Download Album,Value,2017,12398337.42.00,,2017,,£649.7M,£8.5B,,£8503.2B,12398337.42.00,2017
2018,,,Download Album,Value,2018,4306088.43.00,,2018,,£495.3M,£9.7B,,£9738.2B,4306088.43.00,2018
2019,,,Download Album,Value,2019,12965098.47.00,,2019,,£368.8M,£11.1B,,£11130.4B,12965098.47.00,2019
2020,,,Download Album,Value,2020,8350356.41.00,,2020,,£319.5M,£12.2B,,£12153.4B,8350356.41.00,2020
2005,,,Download Music Video,Value,2005,3.7,,2005,,£3.7M,£12.3B,,£12289.9B,3.7,2005
2006,,,Download Music Video,Value,2006,19.7,,2006,,£19.7M,£11.8B,,£11759.5B,19.7,2006
2007,,,Download Music Video,Value,2007,28.2,,2007,,£28.2M,£10.7B,,£10650.9B,28.2,2007
2008,,,Download Music Video,Value,2008,41.3,,2008,,£41.3M,£8.8B,,£8776.8B,41.3,2008
2009,,,Download Music Video,Value,2009,40.9,,2009,,£40.9M,£7.8B,,£7831.0B,40.9,2009
2010,,,Download Music Video,Value,2010,36.6,,2010,,£36.6M,£7.0B,,£7013.8B,36.6,2010
2011,,,Download Music Video,Value,2011,32.4,,2011,,£32.4M,£7.1B,,£7135.6B,32.4,2011
2012,,,Download Music Video,Value,2012,14057.22.00,,2012,,£20.8M,£7.0B,,£7015.7B,14057.22.00,2012
2013,,,Download Music Video,Value,2013,12362.43.00,,2013,,£16.7M,£7.0B,,£7035.1B,12362.43.00,2013
2014,,,Download Music Video,Value,2014,9630.38.00,,2014,,£13.6M,£6.7B,,£6694.7B,9630.38.00,2014
2015,,,Download Music Video,Value,2015,6912.59.00,,2015,,£6.4M,£6.7B,,£6710.8B,6912.59.00,2015
2016,,,Download Music Video,Value,2016,4490006.00.00,,2016,,£4.3M,£7.5B,,£7491.7B,4490006.00.00,2016
2017,,,Download Music Video,Value,2017,13096343.29.00,,2017,,£2.8M,£8.5B,,£8503.2B,13096343.29.00,2017
2018,,,Download Music Video,Value,2018,3680178.40.00,,2018,,£2.2M,£9.7B,,£9738.2B,3680178.40.00,2018
2019,,,Download Music Video,Value,2019,14250366.42.00,,2019,,£1.9M,£11.1B,,£11130.4B,14250366.42.00,2019
2020,,,Download Music Video,Value,2020,13237092.06.00,,2020,,£1.8M,£12.2B,,£12153.4B,13237092.06.00,2020
2004,,,Download Single,Value,2004,138,,2004,,£138.0M,£12.3B,,£12345.1B,138,2004
2005,,,Download Single,Value,2005,363.3,,2005,,£363.3M,£12.3B,,£12289.9B,363.3,2005
2006,,,Download Single,Value,2006,580.6,,2006,,£580.6M,£11.8B,,£11759.5B,580.6,2006
2007,,,Download Single,Value,2007,811,,2007,,£811.0M,£10.7B,,£10650.9B,811,2007
2008,,,Download Single,Value,2008,1032.2,,2008,£1.0B,,£8.8B,,£8776.8B,1032.2,2008
2009,,,Download Single,Value,2009,1172,,2009,£1.2B,,£7.8B,,£7831.0B,1172,2009
2010,,,Download Single,Value,2010,1336.4,,2010,£1.3B,,£7.0B,,£7013.8B,1336.4,2010
2011,,,Download Single,Value,2011,1522.4,,2011,£1.5B,,£7.1B,,£7135.6B,1522.4,2011
2012,,,Download Single,Value,2012,9512399.08.00,,2012,£1.6B,,£7.0B,,£7015.7B,9512399.08.00,2012
2013,,,Download Single,Value,2013,7010480.25.00,,2013,£1.6B,,£7.0B,,£7035.1B,7010480.25.00,2013
2014,,,Download Single,Value,2014,5522210.23.00,,2014,£1.4B,,£6.7B,,£6694.7B,5522210.23.00,2014
2015,,,Download Single,Value,2015,3961095.39.00,,2015,£1.2B,,£6.7B,,£6710.8B,3961095.39.00,2015
2016,,,Download Single,Value,2016,3025584.26.00,,2016,,£900.2M,£7.5B,,£7491.7B,3025584.26.00,2016
2017,,,Download Single,Value,2017,14599607.47.00,,2017,,£667.9M,£8.5B,,£8503.2B,14599607.47.00,2017
2018,,,Download Single,Value,2018,14437492.50.00,,2018,,£489.9M,£9.7B,,£9738.2B,14437492.50.00,2018
2019,,,Download Single,Value,2019,5884013.02.00,,2019,,£408.4M,£11.1B,,£11130.4B,5884013.02.00,2019
2020,,,Download Single,Value,2020,13651277.54.00,,2020,,£312.8M,£12.2B,,£12153.4B,13651277.54.00,2020
2005,,,Kiosk,Value,2005,1,,2005,,£1.0M,£12.3B,,£12289.9B,1,2005
2006,,,Kiosk,Value,2006,1.9,,2006,,£1.9M,£11.8B,,£11759.5B,1.9,2006
2007,,,Kiosk,Value,2007,2.6,,2007,,£2.6M,£10.7B,,£10650.9B,2.6,2007
2008,,,Kiosk,Value,2008,2.6,,2008,,£2.6M,£8.8B,,£8776.8B,2.6,2008
2009,,,Kiosk,Value,2009,6.3,,2009,,£6.3M,£7.8B,,£7831.0B,6.3,2009
2010,,,Kiosk,Value,2010,6.4,,2010,,£6.4M,£7.0B,,£7013.8B,6.4,2010
2011,,,Kiosk,Value,2011,2.7,,2011,,£2.7M,£7.1B,,£7135.6B,2.7,2011
2012,,,Kiosk,Value,2012,10904.05.00,,2012,,£3.7M,£7.0B,,£7015.7B,10904.05.00,2012
2013,,,Kiosk,Value,2013,3066.04.00,,2013,,£6.2M,£7.0B,,£7035.1B,3066.04.00,2013
2014,,,Kiosk,Value,2014,9712.36.00,,2014,,£2.6M,£6.7B,,£6694.7B,9712.36.00,2014
2015,,,Kiosk,Value,2015,11677.15.00,,2015,,£3.7M,£6.7B,,£6710.8B,11677.15.00,2015
2016,,,Kiosk,Value,2016,15731948.41.00,,2016,,£2.9M,£7.5B,,£7491.7B,15731948.41.00,2016
2017,,,Kiosk,Value,2017,4245721.10.00,,2017,,£2.3M,£8.5B,,£8503.2B,4245721.10.00,2017
2018,,,Kiosk,Value,2018,16084097.39.00,,2018,,£2.0M,£9.7B,,£9738.2B,16084097.39.00,2018
2019,,,Kiosk,Value,2019,9774510.47.00,,2019,,£1.6M,£11.1B,,£11130.4B,9774510.47.00,2019
2020,,,Kiosk,Value,2020,2948073.24.00,,2020,,£1.2M,£12.2B,,£12153.4B,2948073.24.00,2020
1973,,,LP/EP,Value,1973,1246,,1973,£1.2B,,£2.0B,,£2016.6B,1246,1973
1974,,,LP/EP,Value,1974,1356,,1974,£1.4B,,£2.2B,,£2199.7B,1356,1974
1975,,,LP/EP,Value,1975,1485,,1975,£1.5B,,£2.4B,,£2388.5B,1485,1975
1976,,,LP/EP,Value,1976,1663,,1976,£1.7B,,£2.7B,,£2737.1B,1663,1976
1977,,,LP/EP,Value,1977,2195.1,,1977,£2.2B,,£3.5B,,£3500.8B,2195.1,1977
1978,,,LP/EP,Value,1978,2473.3,,1978,£2.5B,,£4.1B,,£4131.4B,2473.3,1978
1979,,,LP/EP,Value,1979,2057,,1979,£2.1B,,£3.7B,,£3675.5B,2057,1979
1980,,,LP/EP,Value,1980,2200,,1980,£2.2B,,£3.7B,,£3682.0B,2200,1980
1981,,,LP/EP,Value,1981,2341.7,,1981,£2.3B,,£4.0B,,£3973.9B,2341.7,1981
1982,,,LP/EP,Value,1982,1925.1,,1982,£1.9B,,£3.6B,,£3628.6B,1925.1,1982
1983,,,LP/EP,Value,1983,1689,,1983,£1.7B,,£3.8B,,£3786.4B,1689,1983
1984,,,LP/EP,Value,1984,1548.8,,1984,£1.5B,,£4.3B,,£4334.7B,1548.8,1984
1985,,,LP/EP,Value,1985,1280.5,,1985,£1.3B,,£4.4B,,£4362.5B,1280.5,1985
1986,,,LP/EP,Value,1986,983,,1986,,£983.0M,£4.6B,,£4640.7B,983,1986
1987,,,LP/EP,Value,1987,793.1,,1987,,£793.1M,£5.6B,,£5564.0B,793.1,1987
1988,,,LP/EP,Value,1988,532.2,,1988,,£532.2M,£6.3B,,£6254.7B,532.2,1988
1989,,,LP/EP,Value,1989,220.3,,1989,,£220.3M,£6.6B,,£6580.2B,220.3,1989
1990,,,LP/EP,Value,1990,86.5,,1990,,£86.5M,£7.5B,,£7541.1B,86.5,1990
1991,,,LP/EP,Value,1991,29.4,,1991,,£29.4M,£7.8B,,£7834.2B,29.4,1991
1992,,,LP/EP,Value,1992,13.5,,1992,,£13.5M,£9.0B,,£9024.0B,13.5,1992
1993,,,LP/EP,Value,1993,10.6,,1993,,£10.6M,£10.0B,,£10046.6B,10.6,1993
1994,,,LP/EP,Value,1994,17.8,,1994,,£17.8M,£12.1B,,£12068.0B,17.8,1994
