Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1995,,,LP/EP,Value,1995,25.1,,1995,,£25.1M,£12.3B,,£12320.3B,25.1,1995
1996,,,LP/EP,Value,1996,36.8,,1996,,£36.8M,£12.5B,,£12533.8B,36.8,1996
1997,,,LP/EP,Value,1997,33.3,,1997,,£33.3M,£12.2B,,£12236.8B,33.3,1997
1998,,,LP/EP,Value,1998,34,,1998,,£34.0M,£13.7B,,£13711.2B,34,1998
1999,,,LP/EP,Value,1999,31.8,,1999,,£31.8M,£14.6B,,£14584.7B,31.8,1999
2000,,,LP/EP,Value,2000,27.7,,2000,,£27.7M,£14.3B,,£14323.7B,27.7,2000
2001,,,LP/EP,Value,2001,27.4,,2001,,£27.4M,£13.7B,,£13746.2B,27.4,2001
2002,,,LP/EP,Value,2002,20.5,,2002,,£20.5M,£12.6B,,£12615.8B,20.5,2002
2003,,,LP/EP,Value,2003,21.7,,2003,,£21.7M,£11.9B,,£11854.4B,21.7,2003
2004,,,LP/EP,Value,2004,19.3,,2004,,£19.3M,£12.3B,,£12345.1B,19.3,2004
2005,,,LP/EP,Value,2005,14.2,,2005,,£14.2M,£12.3B,,£12289.9B,14.2,2005
2006,,,LP/EP,Value,2006,15.7,,2006,,£15.7M,£11.8B,,£11759.5B,15.7,2006
2007,,,LP/EP,Value,2007,22.9,,2007,,£22.9M,£10.7B,,£10650.9B,22.9,2007
2008,,,LP/EP,Value,2008,56.7,,2008,,£56.7M,£8.8B,,£8776.8B,56.7,2008
2009,,,LP/EP,Value,2009,63.8,,2009,,£63.8M,£7.8B,,£7831.0B,63.8,2009
2010,,,LP/EP,Value,2010,88.9,,2010,,£88.9M,£7.0B,,£7013.8B,88.9,2010
2011,,,LP/EP,Value,2011,119.4,,2011,,£119.4M,£7.1B,,£7135.6B,119.4,2011
2012,,,LP/EP,Value,2012,12051131.31.00,,2012,,£160.7M,£7.0B,,£7015.7B,12051131.31.00,2012
2013,,,LP/EP,Value,2013,12317727.14.00,,2013,,£210.7M,£7.0B,,£7035.1B,12317727.14.00,2013
2014,,,LP/EP,Value,2014,14114382.00.00,,2014,,£243.8M,£6.7B,,£6694.7B,14114382.00.00,2014
2015,,,LP/EP,Value,2015,6330218.12.00,,2015,,£333.4M,£6.7B,,£6710.8B,6330218.12.00,2015
2016,,,LP/EP,Value,2016,7181870.54.00,,2016,,£355.4M,£7.5B,,£7491.7B,7181870.54.00,2016
2017,,,LP/EP,Value,2017,8518857.28.00,,2017,,£388.5M,£8.5B,,£8503.2B,8518857.28.00,2017
2018,,,LP/EP,Value,2018,3732868.21.00,,2018,,£419.2M,£9.7B,,£9738.2B,3732868.21.00,2018
2019,,,LP/EP,Value,2019,8807663.52.00,,2019,,£479.5M,£11.1B,,£11130.4B,8807663.52.00,2019
2020,,,LP/EP,Value,2020,10168291.17.00,,2020,,£619.6M,£12.2B,,£12153.4B,10168291.17.00,2020
2015,,,Limited Tier Paid Subscription,Value,2015,0,,2015,,£0.0,£6.7B,,£6710.8B,0,2015
2016,,,Limited Tier Paid Subscription,Value,2016,4879420.20.00,,2016,,£257.3M,£7.5B,,£7491.7B,4879420.20.00,2016
2017,,,Limited Tier Paid Subscription,Value,2017,13138310.29.00,,2017,,£568.8M,£8.5B,,£8503.2B,13138310.29.00,2017
2018,,,Limited Tier Paid Subscription,Value,2018,8555246.48.00,,2018,,£740.5M,£9.7B,,£9738.2B,8555246.48.00,2018
2019,,,Limited Tier Paid Subscription,Value,2019,3770480.55.00,,2019,,£638.2M,£11.1B,,£11130.4B,3770480.55.00,2019
2020,,,Limited Tier Paid Subscription,Value,2020,10245377.06.00,,2020,,£723.6M,£12.2B,,£12153.4B,10245377.06.00,2020
1989,,,Music Video (Physical),Value,1989,115.4,,1989,,£115.4M,£6.6B,,£6580.2B,115.4,1989
1990,,,Music Video (Physical),Value,1990,172.3,,1990,,£172.3M,£7.5B,,£7541.1B,172.3,1990
1991,,,Music Video (Physical),Value,1991,118.1,,1991,,£118.1M,£7.8B,,£7834.2B,118.1,1991
1992,,,Music Video (Physical),Value,1992,157.4,,1992,,£157.4M,£9.0B,,£9024.0B,157.4,1992
1993,,,Music Video (Physical),Value,1993,213.3,,1993,,£213.3M,£10.0B,,£10046.6B,213.3,1993
1994,,,Music Video (Physical),Value,1994,231.1,,1994,,£231.1M,£12.1B,,£12068.0B,231.1,1994
1995,,,Music Video (Physical),Value,1995,220.3,,1995,,£220.3M,£12.3B,,£12320.3B,220.3,1995
1996,,,Music Video (Physical),Value,1996,236.1,,1996,,£236.1M,£12.5B,,£12533.8B,236.1,1996
1997,,,Music Video (Physical),Value,1997,323.9,,1997,,£323.9M,£12.2B,,£12236.8B,323.9,1997
1998,,,Music Video (Physical),Value,1998,508,,1998,,£508.0M,£13.7B,,£13711.2B,508,1998
1999,,,Music Video (Physical),Value,1999,376.7,,1999,,£376.7M,£14.6B,,£14584.7B,376.7,1999
2000,,,Music Video (Physical),Value,2000,281.9,,2000,,£281.9M,£14.3B,,£14323.7B,281.9,2000
2001,,,Music Video (Physical),Value,2001,329.2,,2001,,£329.2M,£13.7B,,£13746.2B,329.2,2001
2002,,,Music Video (Physical),Value,2002,288.4,,2002,,£288.4M,£12.6B,,£12615.8B,288.4,2002
2003,,,Music Video (Physical),Value,2003,399.9,,2003,,£399.9M,£11.9B,,£11854.4B,399.9,2003
2004,,,Music Video (Physical),Value,2004,607.2,,2004,,£607.2M,£12.3B,,£12345.1B,607.2,2004
2005,,,Music Video (Physical),Value,2005,602.2,,2005,,£602.2M,£12.3B,,£12289.9B,602.2,2005
2006,,,Music Video (Physical),Value,2006,451.1,,2006,,£451.1M,£11.8B,,£11759.5B,451.1,2006
2007,,,Music Video (Physical),Value,2007,484.9,,2007,,£484.9M,£10.7B,,£10650.9B,484.9,2007
2008,,,Music Video (Physical),Value,2008,227.3,,2008,,£227.3M,£8.8B,,£8776.8B,227.3,2008
2009,,,Music Video (Physical),Value,2009,209.6,,2009,,£209.6M,£7.8B,,£7831.0B,209.6,2009
2010,,,Music Video (Physical),Value,2010,177.6,,2010,,£177.6M,£7.0B,,£7013.8B,177.6,2010
2011,,,Music Video (Physical),Value,2011,151,,2011,,£151.0M,£7.1B,,£7135.6B,151,2011
2012,,,Music Video (Physical),Value,2012,10227692.42.00,,2012,,£116.6M,£7.0B,,£7015.7B,10227692.42.00,2012
2013,,,Music Video (Physical),Value,2013,4719069.09.00,,2013,,£106.3M,£7.0B,,£7035.1B,4719069.09.00,2013
2014,,,Music Video (Physical),Value,2014,11759753.35.00,,2014,,£89.7M,£6.7B,,£6694.7B,11759753.35.00,2014
2015,,,Music Video (Physical),Value,2015,7239469.18.00,,2015,,£70.4M,£6.7B,,£6710.8B,7239469.18.00,2015
2016,,,Music Video (Physical),Value,2016,15381769.33.00,,2016,,£56.9M,£7.5B,,£7491.7B,15381769.33.00,2016
2017,,,Music Video (Physical),Value,2017,8276759.51.00,,2017,,£37.5M,£8.5B,,£8503.2B,8276759.51.00,2017
2018,,,Music Video (Physical),Value,2018,6921941.13.00,,2018,,£28.4M,£9.7B,,£9738.2B,6921941.13.00,2018
2019,,,Music Video (Physical),Value,2019,13952543.03.00,,2019,,£25.8M,£11.1B,,£11130.4B,13952543.03.00,2019
2020,,,Music Video (Physical),Value,2020,7110434.34.00,,2020,,£27.4M,£12.2B,,£12153.4B,7110434.34.00,2020
2011,,,On-Demand Streaming (Ad-Supported),Value,2011,113.8,,2011,,£113.8M,£7.1B,,£7135.6B,113.8,2011
2012,,,On-Demand Streaming (Ad-Supported),Value,2012,15590310.37.00,,2012,,£170.9M,£7.0B,,£7015.7B,15590310.37.00,2012
2013,,,On-Demand Streaming (Ad-Supported),Value,2013,14559294.51.00,,2013,,£220.9M,£7.0B,,£7035.1B,14559294.51.00,2013
2014,,,On-Demand Streaming (Ad-Supported),Value,2014,13223772.31.00,,2014,,£283.8M,£6.7B,,£6694.7B,13223772.31.00,2014
2015,,,On-Demand Streaming (Ad-Supported),Value,2015,16506977.39.00,,2015,,£372.0M,£6.7B,,£6710.8B,16506977.39.00,2015
2016,,,On-Demand Streaming (Ad-Supported),Value,2016,13208353.12.00,,2016,,£476.8M,£7.5B,,£7491.7B,13208353.12.00,2016
2017,,,On-Demand Streaming (Ad-Supported),Value,2017,4406073.02.00,,2017,,£614.3M,£8.5B,,£8503.2B,4406073.02.00,2017
2018,,,On-Demand Streaming (Ad-Supported),Value,2018,11484475.17.00,,2018,,£752.7M,£9.7B,,£9738.2B,11484475.17.00,2018
2019,,,On-Demand Streaming (Ad-Supported),Value,2019,921472.20.00,,2019,£1.0B,,£11.1B,,£11130.4B,921472.20.00,2019
2020,,,On-Demand Streaming (Ad-Supported),Value,2020,2023844.23.00,,2020,£1.2B,,£12.2B,,£12153.4B,2023844.23.00,2020
2016,,,Other Ad-Supported Streaming,Value,2016,10586472.46.00,,2016,,£70.6M,£7.5B,,£7491.7B,10586472.46.00,2016
2017,,,Other Ad-Supported Streaming,Value,2017,15549883.03.00,,2017,,£223.9M,£8.5B,,£8503.2B,15549883.03.00,2017
2018,,,Other Ad-Supported Streaming,Value,2018,2947718.55.00,,2018,,£208.2M,£9.7B,,£9738.2B,2947718.55.00,2018
2019,,,Other Ad-Supported Streaming,Value,2019,4990844.41.00,,2019,,£207.3M,£11.1B,,£11130.4B,4990844.41.00,2019
2020,,,Other Ad-Supported Streaming,Value,2020,4127124.04.00,,2020,,£211.2M,£12.2B,,£12153.4B,4127124.04.00,2020
2016,,,Other Digital,Value,2016,2361064.51.00,,2016,,£17.1M,£7.5B,,£7491.7B,2361064.51.00,2016
2017,,,Other Digital,Value,2017,14751847.08.00,,2017,,£16.9M,£8.5B,,£8503.2B,14751847.08.00,2017
2018,,,Other Digital,Value,2018,13992933.25.00,,2018,,£19.8M,£9.7B,,£9738.2B,13992933.25.00,2018
2019,,,Other Digital,Value,2019,8540921.38.00,,2019,,£21.5M,£11.1B,,£11130.4B,8540921.38.00,2019
2020,,,Other Digital,Value,2020,14837755.26.00,,2020,,£18.9M,£12.2B,,£12153.4B,14837755.26.00,2020
1973,,,Other Tapes,Value,1973,15.6,,1973,,£15.6M,£2.0B,,£2016.6B,15.6,1973
1974,,,Other Tapes,Value,1974,13.3,,1974,,£13.3M,£2.2B,,£2199.7B,13.3,1974
1975,,,Other Tapes,Value,1975,10.2,,1975,,£10.2M,£2.4B,,£2388.5B,10.2,1975
1976,,,Other Tapes,Value,1976,5.1,,1976,,£5.1M,£2.7B,,£2737.1B,5.1,1976
2005,,,Paid Subscription,Value,2005,149.2,,2005,,£149.2M,£12.3B,,£12289.9B,149.2,2005
2006,,,Paid Subscription,Value,2006,206.2,,2006,,£206.2M,£11.8B,,£11759.5B,206.2,2006
2007,,,Paid Subscription,Value,2007,234,,2007,,£234.0M,£10.7B,,£10650.9B,234,2007
2008,,,Paid Subscription,Value,2008,221.4,,2008,,£221.4M,£8.8B,,£8776.8B,221.4,2008
2009,,,Paid Subscription,Value,2009,206.2,,2009,,£206.2M,£7.8B,,£7831.0B,206.2,2009
2010,,,Paid Subscription,Value,2010,212.4,,2010,,£212.4M,£7.0B,,£7013.8B,212.4,2010
2011,,,Paid Subscription,Value,2011,247.8,,2011,,£247.8M,£7.1B,,£7135.6B,247.8,2011
2012,,,Paid Subscription,Value,2012,14709250.30.00,,2012,,£399.9M,£7.0B,,£7015.7B,14709250.30.00,2012
2013,,,Paid Subscription,Value,2013,5405455.36.00,,2013,,£643.3M,£7.0B,,£7035.1B,5405455.36.00,2013
2014,,,Paid Subscription,Value,2014,4510088.44.00,,2014,,£770.3M,£6.7B,,£6694.7B,4510088.44.00,2014
2015,,,Paid Subscription,Value,2015,11809715.11.00,,2015,£1.2B,,£6.7B,,£6710.8B,11809715.11.00,2015
2016,,,Paid Subscription,Value,2016,7372282.57.00,,2016,£2.2B,,£7.5B,,£7491.7B,7372282.57.00,2016
2017,,,Paid Subscription,Value,2017,12685010.46.00,,2017,£3.4B,,£8.5B,,£8503.2B,12685010.46.00,2017
2018,,,Paid Subscription,Value,2018,312986.43.00,,2018,£4.6B,,£9.7B,,£9738.2B,312986.43.00,2018
2019,,,Paid Subscription,Value,2019,2871907.47.00,,2019,£6.1B,,£11.1B,,£11130.4B,2871907.47.00,2019
2020,,,Paid Subscription,Value,2020,2764606.48.00,,2020,£7.0B,,£12.2B,,£12153.4B,2764606.48.00,2020
2005,,,Ringtones & Ringbacks,Value,2005,421.6,,2005,,£421.6M,£12.3B,,£12289.9B,421.6,2005
2006,,,Ringtones & Ringbacks,Value,2006,773.8,,2006,,£773.8M,£11.8B,,£11759.5B,773.8,2006
2007,,,Ringtones & Ringbacks,Value,2007,1055.8,,2007,£1.1B,,£10.7B,,£10650.9B,1055.8,2007
2008,,,Ringtones & Ringbacks,Value,2008,977.1,,2008,,£977.1M,£8.8B,,£8776.8B,977.1,2008
2009,,,Ringtones & Ringbacks,Value,2009,702.8,,2009,,£702.8M,£7.8B,,£7831.0B,702.8,2009
2010,,,Ringtones & Ringbacks,Value,2010,448,,2010,,£448.0M,£7.0B,,£7013.8B,448,2010
2011,,,Ringtones & Ringbacks,Value,2011,276.2,,2011,,£276.2M,£7.1B,,£7135.6B,276.2,2011
2012,,,Ringtones & Ringbacks,Value,2012,16549063.31.00,,2012,,£146.0M,£7.0B,,£7015.7B,16549063.31.00,2012
2013,,,Ringtones & Ringbacks,Value,2013,16660302.33.00,,2013,,£98.0M,£7.0B,,£7035.1B,16660302.33.00,2013
2014,,,Ringtones & Ringbacks,Value,2014,5189577.07.00,,2014,,£66.3M,£6.7B,,£6694.7B,5189577.07.00,2014
2015,,,Ringtones & Ringbacks,Value,2015,9700457.42.00,,2015,,£54.6M,£6.7B,,£6710.8B,9700457.42.00,2015
2016,,,Ringtones & Ringbacks,Value,2016,5421708.05.00,,2016,,£56.3M,£7.5B,,£7491.7B,5421708.05.00,2016
2017,,,Ringtones & Ringbacks,Value,2017,8562295.53.00,,2017,,£35.5M,£8.5B,,£8503.2B,8562295.53.00,2017
2018,,,Ringtones & Ringbacks,Value,2018,15964353.59.00,,2018,,£25.0M,£9.7B,,£9738.2B,15964353.59.00,2018
2019,,,Ringtones & Ringbacks,Value,2019,10688655.27.00,,2019,,£20.6M,£11.1B,,£11130.4B,10688655.27.00,2019
2020,,,Ringtones & Ringbacks,Value,2020,3993458.40.00,,2020,,£20.2M,£12.2B,,£12153.4B,3993458.40.00,2020
2003,,,SACD,Value,2003,26.3,,2003,,£26.3M,£11.9B,,£11854.4B,26.3,2003
2004,,,SACD,Value,2004,16.6,,2004,,£16.6M,£12.3B,,£12345.1B,16.6,2004
2005,,,SACD,Value,2005,10,,2005,,£10.0M,£12.3B,,£12289.9B,10,2005
2006,,,SACD,Value,2006,5.5,,2006,,£5.5M,£11.8B,,£11759.5B,5.5,2006
2007,,,SACD,Value,2007,3.6,,2007,,£3.6M,£10.7B,,£10650.9B,3.6,2007
2008,,,SACD,Value,2008,3.1,,2008,,£3.1M,£8.8B,,£8776.8B,3.1,2008
2009,,,SACD,Value,2009,2.4,,2009,,£2.4M,£7.8B,,£7831.0B,2.4,2009
2010,,,SACD,Value,2010,1.7,,2010,,£1.7M,£7.0B,,£7013.8B,1.7,2010
2011,,,SACD,Value,2011,1.5,,2011,,£1.5M,£7.1B,,£7135.6B,1.5,2011
2012,,,SACD,Value,2012,58.05.00,,2012,,£1.3M,£7.0B,,£7015.7B,58.05.00,2012
2013,,,SACD,Value,2013,163063.46.00,,2013,,£1.0M,£7.0B,,£7035.1B,163063.46.00,2013
2014,,,SACD,Value,2014,1272408.59.00,,2014,,£0.8M,£6.7B,,£6694.7B,1272408.59.00,2014
2015,,,SACD,Value,2015,72445.16.00,,2015,,£1.0M,£6.7B,,£6710.8B,72445.16.00,2015
2016,,,SACD,Value,2016,344770.08.00,,2016,,£1.2M,£7.5B,,£7491.7B,344770.08.00,2016
2017,,,SACD,Value,2017,1417630.56.00,,2017,,£0.9M,£8.5B,,£8503.2B,1417630.56.00,2017
2018,,,SACD,Value,2018,1432832.51.00,,2018,,£0.9M,£9.7B,,£9738.2B,1432832.51.00,2018
2019,,,SACD,Value,2019,7221704.52.00,,2019,,£0.4M,£11.1B,,£11130.4B,7221704.52.00,2019
2020,,,SACD,Value,2020,3944540.58.00,,2020,,£0.2M,£12.2B,,£12153.4B,3944540.58.00,2020
2004,,,SoundExchange Distributions,Value,2004,6.9,,2004,,£6.9M,£12.3B,,£12345.1B,6.9,2004
2005,,,SoundExchange Distributions,Value,2005,20.4,,2005,,£20.4M,£12.3B,,£12289.9B,20.4,2005
2006,,,SoundExchange Distributions,Value,2006,32.8,,2006,,£32.8M,£11.8B,,£11759.5B,32.8,2006
2007,,,SoundExchange Distributions,Value,2007,36.2,,2007,,£36.2M,£10.7B,,£10650.9B,36.2,2007
2008,,,SoundExchange Distributions,Value,2008,100,,2008,,£100.0M,£8.8B,,£8776.8B,100,2008
2009,,,SoundExchange Distributions,Value,2009,155.5,,2009,,£155.5M,£7.8B,,£7831.0B,155.5,2009
2010,,,SoundExchange Distributions,Value,2010,249.2,,2010,,£249.2M,£7.0B,,£7013.8B,249.2,2010
2011,,,SoundExchange Distributions,Value,2011,292,,2011,,£292.0M,£7.1B,,£7135.6B,292,2011
2012,,,SoundExchange Distributions,Value,2012,462,,2012,,£462.0M,£7.0B,,£7015.7B,462,2012
2013,,,SoundExchange Distributions,Value,2013,590.4,,2013,,£590.4M,£7.0B,,£7035.1B,590.4,2013
2014,,,SoundExchange Distributions,Value,2014,773.4,,2014,,£773.4M,£6.7B,,£6694.7B,773.4,2014
2015,,,SoundExchange Distributions,Value,2015,802.6,,2015,,£802.6M,£6.7B,,£6710.8B,802.6,2015
2016,,,SoundExchange Distributions,Value,2016,883.9,,2016,,£883.9M,£7.5B,,£7491.7B,883.9,2016
2017,,,SoundExchange Distributions,Value,2017,652,,2017,,£652.0M,£8.5B,,£8503.2B,652,2017
2018,,,SoundExchange Distributions,Value,2018,952.8,,2018,,£952.8M,£9.7B,,£9738.2B,952.8,2018
2019,,,SoundExchange Distributions,Value,2019,908.2,,2019,,£908.2M,£11.1B,,£11130.4B,908.2,2019
2020,,,SoundExchange Distributions,Value,2020,947.4,,2020,,£947.4M,£12.2B,,£12153.4B,947.4,2020
2009,,,Synchronization,Value,2009,201.2,,2009,,£201.2M,£7.8B,,£7831.0B,201.2,2009
2010,,,Synchronization,Value,2010,188.7,,2010,,£188.7M,£7.0B,,£7013.8B,188.7,2010
2011,,,Synchronization,Value,2011,196.5,,2011,,£196.5M,£7.1B,,£7135.6B,196.5,2011
2012,,,Synchronization,Value,2012,10152.33.00,,2012,,£190.6M,£7.0B,,£7015.7B,10152.33.00,2012
2013,,,Synchronization,Value,2013,11512.54.00,,2013,,£189.7M,£7.0B,,£7035.1B,11512.54.00,2013
2014,,,Synchronization,Value,2014,12073.59.00,,2014,,£189.7M,£6.7B,,£6694.7B,12073.59.00,2014
2015,,,Synchronization,Value,2015,15783.28.00,,2015,,£202.9M,£6.7B,,£6710.8B,15783.28.00,2015
2016,,,Synchronization,Value,2016,1398508.14.00,,2016,,£214.8M,£7.5B,,£7491.7B,1398508.14.00,2016
2017,,,Synchronization,Value,2017,1442280.19.00,,2017,,£232.1M,£8.5B,,£8503.2B,1442280.19.00,2017
2018,,,Synchronization,Value,2018,8558474.00.00,,2018,,£285.5M,£9.7B,,£9738.2B,8558474.00.00,2018
2019,,,Synchronization,Value,2019,1879210.19.00,,2019,,£281.1M,£11.1B,,£11130.4B,1879210.19.00,2019
2020,,,Synchronization,Value,2020,3934713.28.00,,2020,,£265.2M,£12.2B,,£12153.4B,3934713.28.00,2020
1973,,,Vinyl Single,Value,1973,190,,1973,,£190.0M,£2.0B,,£2016.6B,190,1973
1974,,,Vinyl Single,Value,1974,194,,1974,,£194.0M,£2.2B,,£2199.7B,194,1974
1975,,,Vinyl Single,Value,1975,211.5,,1975,,£211.5M,£2.4B,,£2388.5B,211.5,1975
1976,,,Vinyl Single,Value,1976,245.1,,1976,,£245.1M,£2.7B,,£2737.1B,245.1,1976
1977,,,Vinyl Single,Value,1977,245.1,,1977,,£245.1M,£3.5B,,£3500.8B,245.1,1977
1978,,,Vinyl Single,Value,1978,260.3,,1978,,£260.3M,£4.1B,,£4131.4B,260.3,1978
1979,,,Vinyl Single,Value,1979,353.6,,1979,,£353.6M,£3.7B,,£3675.5B,353.6,1979
1980,,,Vinyl Single,Value,1980,250,,1980,,£250.0M,£3.7B,,£3682.0B,250,1980
1981,,,Vinyl Single,Value,1981,256.4,,1981,,£256.4M,£4.0B,,£3973.9B,256.4,1981
1982,,,Vinyl Single,Value,1982,283,,1982,,£283.0M,£3.6B,,£3628.6B,283,1982
1983,,,Vinyl Single,Value,1983,269.3,,1983,,£269.3M,£3.8B,,£3786.4B,269.3,1983
1984,,,Vinyl Single,Value,1984,298.7,,1984,,£298.7M,£4.3B,,£4334.7B,298.7,1984
1985,,,Vinyl Single,Value,1985,281,,1985,,£281.0M,£4.4B,,£4362.5B,281,1985
1986,,,Vinyl Single,Value,1986,228.1,,1986,,£228.1M,£4.6B,,£4640.7B,228.1,1986
1987,,,Vinyl Single,Value,1987,203.3,,1987,,£203.3M,£5.6B,,£5564.0B,203.3,1987
1988,,,Vinyl Single,Value,1988,180.4,,1988,,£180.4M,£6.3B,,£6254.7B,180.4,1988
1989,,,Vinyl Single,Value,1989,116.4,,1989,,£116.4M,£6.6B,,£6580.2B,116.4,1989
1990,,,Vinyl Single,Value,1990,94.4,,1990,,£94.4M,£7.5B,,£7541.1B,94.4,1990
1991,,,Vinyl Single,Value,1991,63.9,,1991,,£63.9M,£7.8B,,£7834.2B,63.9,1991
1992,,,Vinyl Single,Value,1992,66.4,,1992,,£66.4M,£9.0B,,£9024.0B,66.4,1992
1993,,,Vinyl Single,Value,1993,51.2,,1993,,£51.2M,£10.0B,,£10046.6B,51.2,1993
1994,,,Vinyl Single,Value,1994,47.2,,1994,,£47.2M,£12.1B,,£12068.0B,47.2,1994
1995,,,Vinyl Single,Value,1995,46.7,,1995,,£46.7M,£12.3B,,£12320.3B,46.7,1995
1996,,,Vinyl Single,Value,1996,47.5,,1996,,£47.5M,£12.5B,,£12533.8B,47.5,1996
1997,,,Vinyl Single,Value,1997,35.6,,1997,,£35.6M,£12.2B,,£12236.8B,35.6,1997
1998,,,Vinyl Single,Value,1998,25.7,,1998,,£25.7M,£13.7B,,£13711.2B,25.7,1998
1999,,,Vinyl Single,Value,1999,27.9,,1999,,£27.9M,£14.6B,,£14584.7B,27.9,1999
2000,,,Vinyl Single,Value,2000,26.3,,2000,,£26.3M,£14.3B,,£14323.7B,26.3,2000
2001,,,Vinyl Single,Value,2001,31.4,,2001,,£31.4M,£13.7B,,£13746.2B,31.4,2001
2002,,,Vinyl Single,Value,2002,24.9,,2002,,£24.9M,£12.6B,,£12615.8B,24.9,2002
2003,,,Vinyl Single,Value,2003,21.5,,2003,,£21.5M,£11.9B,,£11854.4B,21.5,2003
2004,,,Vinyl Single,Value,2004,19.9,,2004,,£19.9M,£12.3B,,£12345.1B,19.9,2004
2005,,,Vinyl Single,Value,2005,13.2,,2005,,£13.2M,£12.3B,,£12289.9B,13.2,2005
2006,,,Vinyl Single,Value,2006,9.9,,2006,,£9.9M,£11.8B,,£11759.5B,9.9,2006
2007,,,Vinyl Single,Value,2007,4,,2007,,£4.0M,£10.7B,,£10650.9B,4,2007
2008,,,Vinyl Single,Value,2008,2.9,,2008,,£2.9M,£8.8B,,£8776.8B,2.9,2008
2009,,,Vinyl Single,Value,2009,2.5,,2009,,£2.5M,£7.8B,,£7831.0B,2.5,2009
2010,,,Vinyl Single,Value,2010,2.3,,2010,,£2.3M,£7.0B,,£7013.8B,2.3,2010
2011,,,Vinyl Single,Value,2011,4.6,,2011,,£4.6M,£7.1B,,£7135.6B,4.6,2011
2012,,,Vinyl Single,Value,2012,12384268.53.00,,2012,,£4.7M,£7.0B,,£7015.7B,12384268.53.00,2012
2013,,,Vinyl Single,Value,2013,16315621.39.00,,2013,,£3.0M,£7.0B,,£7035.1B,16315621.39.00,2013
2014,,,Vinyl Single,Value,2014,8322576.30.00,,2014,,£5.5M,£6.7B,,£6694.7B,8322576.30.00,2014
2015,,,Vinyl Single,Value,2015,12549239.42.00,,2015,,£5.8M,£6.7B,,£6710.8B,12549239.42.00,2015
2016,,,Vinyl Single,Value,2016,14677998.49.00,,2016,,£4.9M,£7.5B,,£7491.7B,14677998.49.00,2016
2017,,,Vinyl Single,Value,2017,1306428.30.00,,2017,,£6.1M,£8.5B,,£8503.2B,1306428.30.00,2017
2018,,,Vinyl Single,Value,2018,12010019.37.00,,2018,,£5.7M,£9.7B,,£9738.2B,12010019.37.00,2018
2019,,,Vinyl Single,Value,2019,12139066.04.00,,2019,,£6.7M,£11.1B,,£11130.4B,12139066.04.00,2019
2020,,,Vinyl Single,Value,2020,5287006.49.00,,2020,,£6.3M,£12.2B,,£12153.4B,5287006.49.00,2020